country,adjective
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguan and Barbudan
Argentina,Argentine
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian and Herzegovinian
Botswana,Botswanan
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,Burundian
Cabo Verde,Cape Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Comoros,Comorian
Congo,Congolese
Costa Rica,Costa Rican
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czechia,Czech
Democratic People's Republic of Korea,North Korean
Democratic Republic of the Congo,Congolese
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,Equatorial Guinean
Eritrea,Eritrean
Estonia,Estonian
Eswatini,Swazi
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kiribati,I-Kiribati
Kuwait,Kuwaiti
Kyrgyzstan,Kyrgyz
Laos,Lao
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtenstein
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malian
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
Micronesia,Micronesian
Monaco,Monégasque
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Myanmar
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepali
Netherlands,Dutch
New Zealand,New Zealand
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
North Macedonia,Macedonian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Republic of Korea,South Korean
Republic of Moldova,Moldovan
Romania,Romanian
Russian Federation,Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Kittitian and Nevisian
Saint Lucia,Saint Lucian
Saint Vincent and the Grenadines,Vincentian
Samoa,Samoan
San Marino,Sammarinese
Sao Tome and Principe,Sao Tomean
Saudi Arabia,Saudi Arabian
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovak
Slovenia,Slovenian
Solomon Islands,Solomon Islander
Somalia,Somali
South Africa,South African
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,Timorese
Togo,Togolese
Tonga,Tongan
Trinidad and Tobago,Trinidadian and Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirati
United Kingdom,British
Uruguay,Uruguayan
Uzbekistan,Uzbek
Vanuatu,Ni-Vanuatu
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
Soviet Union,Soviet
Yugoslavia,Yugoslav
Czechoslovakia,Czechoslovak
East Germany,East German
West Germany,West German
Siam,Siamese
Zaire,Zairian
Burma,Burmese
Ceylon,Ceylonese
Dahomey,Dahomean
Upper Volta,Voltan
Rhodesia,Rhodesian
Tanganyika,Tanganyikan
Zanzibar,Zanzibari
United Arab Republic,United Arab
Federation of Malaya,Malayan
